ITEM_ID,PRICE,BEDS,CITY,POSTAL,CREATED_AT
5c636ece8e32760001b373ef,74990000,5,PENTICTON,V2A7Y1,1550016000
5c6370ab8e32760001b376c5,15400000,2,Weyburn,S4H0P1,1550016000
5c6370ec8e32760001b3773c,6490000,1,Hafford,S0J1A0,1550016000
5c63719b8e32760001b377dd,54500000,2,Invermere,V0A1K0,1550016000
5c63725b8e32760001b37898,95900000,3,PROTECTION ISLAND,V9R6R1,1550016000
5c63770d8e32760001b37ad9,29500000,4,APPLETON,A0G2K0,1550016000
5c639be08e32760001b37f61,17900000,2,Blue Rocks,B0J2C0,1550016000
5c63a2c88e32760001b38036,67490000,2,London,N6M0E5,1550016000
5c63c0068e32760001b3836e,59990000,4,Leduc,T9E0G3,1550016000
5c63c11a8e32760001b383b8,41490000,5,Edmonton,T6J0R2,1550016000
5c745f2ec5c1f10001f7bc6e,20950000,0,"Grande Prairie, County of",T8X0G4,1550016000
5c747717c5c1f10001f7c4b5,1500000,0,Saddle Hills County,T0H3V0,1550016000
5c749d94c5c1f10001f7d094,48990000,2,Surrey,V3R2V6,1550016000
5c63c8c78e32760001b384b5,269500000,3,Edmonton,T6M2N5,1550016000
5c63cc008e32760001b3850a,145000000,5,Kelowna,V1P1S6,1550016000
5c6409298e32760001b3898d,34900000,2,Kelowna,V1Y6M8,1550016000
5c640a1ad4c80c000197e898,104900000,4,MISSISSAUGA,L4Z2S2,1550016000
5c64505b8e32760001b38c66,21000000,3,Manning,T0H2M0,1550016000
5c645bcd8e32760001b38cc4,649900000,3,Vancouver,V6B0L1,1550016000
5c647d4c8e32760001b38f31,20490000,2,Red Deer,T4R3G5,1550016000
5c647e558e32760001b3905a,21990000,2,Riverhurst,S0H0E6,1550016000
5c647ef78e32760001b391ae,7900000,2,Moncton,E1C4X7,1550016000
5c647f238e32760001b391cd,18390000,3,Westville,B2H1S2,1550016000
5c64809e8e32760001b393c4,34980000,2,Edmonton,T5K0B7,1550016000
5c6487438e32760001b3996a,109800000,6,Newmarket,UNKNOWN,1550016000
5c6490da8e32760001b3a103,32490000,3,Saskatoon,S7T0R9,1550016000
5c769127c5c1f10001f8c5ab,12850000,5,Saint John,E2K1Y7,1550016000
5c7695dcc5c1f10001f8c63c,16990000,0,Sussex,E4E1S2,1550016000
5c93a33dbe7c7e00011f32b2,249890000,3,Toronto,M5V3X4,1550016000
5c755169d4c80c0001ccd416,37400000,2,Hartwell,30643-0000,1551139200
5c75520ec5c1f10001f86db0,25750000,2,Edmonton,T6E1V7,1551139200
5c755cccc5c1f10001f86f9d,7700000,2,North Enmore,C0B1J0,1551139200
5c755debc5c1f10001f86fde,18990000,4,Springfield,B0R1H0,1551139200
5c75627dc5c1f10001f87129,159880000,7,Coquitlam,V3K2X4,1551139200
5c7563bfc5c1f10001f87203,87800000,3,Burnaby,V3N0A7,1551139200
5c756476c5c1f10001f87309,63900000,3,Kelowna,V1Y2V1,1551139200
5c7564cfc5c1f10001f8734d,165800000,3,Vancouver,V5X0G7,1551139200
5c7565adc5c1f10001f8743b,37500000,4,Golden Valley,P0H1N0,1551139200
5c756631c5c1f10001f874fb,54999000,2,Paris,N3L0A1,1551139200
5c75663cc5c1f10001f8751e,53499000,2,Paris,N3L0A1,1551139200
5c756814c5c1f10001f876d1,54890000,2,Ottawa,K2P1C3,1551139200
5c756892c5c1f10001f87752,68980000,6,"Cranston, Calgary",T3M0J1,1551139200
5c756900c5c1f10001f87812,39990000,3,Red Deer,T4N7C5,1551139200
5c756905c5c1f10001f87815,13800000,3,Ponoka,T4J1M1,1551139200
5c75695cc5c1f10001f87890,94990000,3,Leeds & Thousand Islands,K7G2V5,1551139200
5c7569cac5c1f10001f87931,6688800,2,Victoria,V9B6S1,1551139200
5c756b2ec5c1f10001f87a8c,47898800,3,Kelowna,V1P1T8,1551139200
5c756b42c5c1f10001f87aa3,19790000,2,Regina,S4N7L9,1551139200
5c756b76c5c1f10001f87b05,17900000,3,Sundre,T0M1X0,1551139200
5c756c2bc5c1f10001f87c30,22500000,1,Kelowna,V1Y8G7,1551139200
5c756c5ec5c1f10001f87c80,134900000,6,Kelowna,V1W4Y9,1551139200
5c756c82c5c1f10001f87cbb,41500000,2,Vernon,V1B2M5,1551139200
5c74ab8fc5c1f10001f7d6fc,35900000,3,Saint Andrews,E5B2A1,1551139200
5c74ab93c5c1f10001f7d701,40490000,2,Saugeen Shores,N0H2C4,1551139200
5c74ab9ac5c1f10001f7d706,36490000,2,Saugeen Shores,N0H2C4,1551139200
5c74ababc5c1f10001f7d717,39990000,2,Saugeen Shores,N0H2C4,1551139200
5c74abb1c5c1f10001f7d71d,40490000,2,Saugeen Shores,N0H2C4,1551139200
5c74ac6ec5c1f10001f7d930,16250000,3,Chipman,E4A1V8,1551139200
5c74ac97c5c1f10001f7d9c7,36490000,3,Cobourg,K9A2Z6,1551139200
5c74ad40c5c1f10001f7db36,69990000,1,Vancouver,V6Z2N1,1551139200
5c74ad70c5c1f10001f7dbbf,22990000,4,Swift Current,S9H3J7,1551139200
5c74add4c5c1f10001f7dcf3,42990000,2,"Beltline, Calgary",t2g1e1,1551139200
5c74ae44c5c1f10001f7ddd4,53900700,3,Westbank,V4T3G1,1551139200
5c74ae4fc5c1f10001f7ddf1,65900000,4,Coldstream,V1B2K8,1551139200
5c74afdcc5c1f10001f7e153,54990000,4,Grande Prairie,T8X0T3,1551139200
5c74b004c5c1f10001f7e199,89900000,3,Vancouver,V5N3M4,1551139200
5c74b0d4c5c1f10001f7e375,388000000,5,Ottawa,K1M0S2,1551139200
5c74b11cc5c1f10001f7e417,159880000,5,Vancouver,V5S3A5,1551139200
5c74b11fc5c1f10001f7e419,139880000,5,Burnaby,V5R2N4,1551139200
5c74b12ec5c1f10001f7e42e,49880000,1,Vancouver,V6Z2B8,1551139200
5c74b150c5c1f10001f7e49b,26400000,2,"Sage Hill, Calgary",T3R0J2,1551139200
